counterparty_id,counterparty_name,country
CP20000,Jin Wang,Belarus
CP20001,Farid Al Rashid,Iran
CP20002,John Nouri,Turkey
CP20003,John Volkov,India
CP20004,Samir Al Rashid,Iran
CP20005,Jin Petrov,Russia
CP20006,Reza Wang,Iran
CP20007,Karim Wilson,Nigeria
CP20008,Karim Sokolov,Nigeria
CP20009,Jin Mansour,Belarus
CP20010,Mark Sokolov,United Arab Emirates
CP20011,Nikolai Lee,India
CP20012,Ali Petrov,Iran
CP20013,John Smith,United States
CP20014,Ivan Zhang,United Kingdom
CP20015,Nikolai Haddad,India
CP20016,Sara Haddad,Iran
CP20017,Reza Hosseini,United Arab Emirates
CP20018,Peter Al Rashid,United Kingdom
CP20019,Nikolai Wilson,Belarus
CP20020,Ahmed Petrov,Belarus
CP20021,Ahmed Volkov,Belarus
CP20022,Samir Brown,United Kingdom
CP20023,John Smith,Russia
CP20024,Jin Haddad,Syria
CP20025,Sara Nouri,Russia
CP20026,Yousef Zhang,Turkey
CP20027,Wei Mansour,Iran
CP20028,Nikolai Hosseini,Canada
CP20029,Farid Ivanov,Iran
CP20030,Ali Brown,Russia
CP20031,Peter Haddad,Iran
CP20032,Samir Rahimi,United Kingdom
CP20033,John Lee,Turkey
CP20034,Mark Rahimi,Syria
CP20035,Ali Volkov,Russia
CP20036,Ivan Rahimi,United Arab Emirates
CP20037,Mohamed Khalil,Syria
CP20038,Samir Wilson,United Arab Emirates
CP20039,Jin Mansour,India
CP20040,Ahmed Wang,Russia
CP20041,John Nouri,United Arab Emirates
CP20042,Reza Volkov,Mexico
CP20043,Ivan Karimi,Russia
CP20044,John Wang,United States
CP20045,Nikolai Rahimi,United States
CP20046,Peter Volkov,Syria
CP20047,Peter Zhang,Turkey
CP20048,Anna Brown,United States
CP20049,Samir Lee,Turkey
CP20050,Wei Wilson,India
CP20051,Yousef Petrov,Iran
CP20052,Nikolai Volkov,United Kingdom
CP20053,Wei Mansour,Canada
CP20054,Mohammed Nouri,United States
CP20055,Nikolai Haddad,Mexico
CP20056,John Mansour,Mexico
CP20057,Wei Hosseini,United Arab Emirates
CP20058,Yousef Nouri,United States
CP20059,Farid Haddad,Turkey
CP20060,Omar Sokolov,United Kingdom
CP20061,Nikolai Volkov,Nigeria
CP20062,Sergei Lee,Mexico
CP20063,Yousef Haddad,Turkey
CP20064,Yousef Hosseini,Nigeria
CP20065,Farid Rahimi,Belarus
CP20066,Viktor Rahimi,Canada
CP20067,Nikolai Smith,Canada
CP20068,Anna Volkov,Turkey
CP20069,Jin Volkov,Belarus
CP20070,Hassan Wilson,Canada
CP20071,Karim Khalil,United Kingdom
CP20072,Sergei Volkov,Iran
CP20073,Anna Al Rashid,United States
CP20074,John Brown,India
CP20075,Ali Ivanov,Canada
CP20076,Samir Rahimi,United Arab Emirates
CP20077,Anna Hosseini,Iran
CP20078,John Wilson,Syria
CP20079,Viktor Nouri,Belarus
CP20080,Ali Smith,Syria
CP20081,Yousef Wang,Canada
CP20082,Mohammed Al Rashid,Russia
CP20083,Anna Brown,United Kingdom
CP20084,Samir Nouri,Russia
CP20085,Peter Smith,Nigeria
CP20086,Yousef Mansour,Syria
CP20087,Wei Zhang,United Arab Emirates
CP20088,Nikolai Wang,Nigeria
CP20089,Farid Nouri,United States
CP20090,Karim Smith,Iran
CP20091,Ahmed Karimi,India
CP20092,Ali Zhang,Nigeria
CP20093,Nikolai Lee,Nigeria
CP20094,Samir Mansour,India
CP20095,Reza Al Rashid,India
CP20096,Mohammed Brown,Turkey
CP20097,Reza Lee,India
CP20098,Anna Ivanov,Russia
CP20099,Nikolai Nouri,India
CP20100,Farid Sokolov,Nigeria
CP20101,Sara Rahimi,Turkey
CP20102,Mohammed Wilson,Mexico
CP20103,Ivan Mansour,Russia
CP20104,Sergei Wang,Syria
CP20105,Ivan Lee,Nigeria
CP20106,Ivan Al Rashid,India
CP20107,Ivan Wang,Iran
CP20108,Hassan Haddad,United Kingdom
CP20109,Mark Rahimi,Iran
CP20110,Peter Volkov,Turkey
CP20111,Karim Al Rashid,India
CP20112,Viktor Nouri,Nigeria
CP20113,Sara Smith,Canada
CP20114,Karim Sokolov,Mexico
CP20115,Karim Smith,United States
CP20116,Samir Petrov,United States
CP20117,Anna Haddad,Nigeria
CP20118,Farid Volkov,Turkey
CP20119,Nikolai Mansour,Canada
CP20120,Mark Haddad,Mexico
CP20121,Sara Mansour,Nigeria
CP20122,Jin Rahimi,United States
CP20123,Mark Al Rashid,Syria
CP20124,Anna Volkov,Syria
CP20125,Ivan Nouri,United Kingdom
CP20126,Reza Lee,United States
CP20127,Sergei Rahimi,Russia
CP20128,Omar Zhang,Iran
CP20129,Sergei Wang,Nigeria
CP20130,Nikolai Zhang,India
CP20131,Sara Haddad,India
CP20132,Peter Haddad,Syria
CP20133,Samir Khalil,Mexico
CP20134,John Haddad,Russia
CP20135,Ahmed Karimi,Belarus
CP20136,Reza Rahimi,Syria
CP20137,Ali Haddad,Russia
CP20138,Reza Smith,Syria
CP20139,Sergei Zhang,Syria
CP20140,Reza Karimi,Canada
CP20141,Hassan Mansour,Turkey
CP20142,Peter Hosseini,Belarus
CP20143,Viktor Smith,Russia
CP20144,Yousef Petrov,Belarus
CP20145,Mark Karimi,India
CP20146,Nikolai Nouri,Nigeria
CP20147,Sara Hosseini,India
CP20148,Yousef Wang,Belarus
CP20149,Yousef Hosseini,Syria
CP20150,Mark Hosseini,Mexico
CP20151,Jin Hosseini,Turkey
CP20152,Mohammed Rahimi,United States
CP20153,Sara Mansour,Syria
CP20154,Farid Hosseini,Mexico
CP20155,Viktor Mansour,Russia
CP20156,Ivan Mansour,Belarus
CP20157,Ivan Karimi,Russia
CP20158,Nikolai Volkov,India
CP20159,Omar Brown,Iran
CP20160,Ahmad Volkov,Russia
CP20161,Viktor Smith,Mexico
CP20162,Samir Zhang,United Kingdom
CP20163,Ivan Al Rashid,Iran
CP20164,Karim Rahimi,Canada
CP20165,Peter Wilson,Syria
CP20166,Karim Al Rashid,Russia
CP20167,Anna Al Rashid,Turkey
CP20168,Nikolai Brown,Iran
CP20169,Mark Rahimi,Russia
CP20170,Sergei Al Rashid,Belarus
CP20171,Karim Volkov,Belarus
CP20172,Peter Karimi,Turkey
CP20173,Wei Petrov,Russia
CP20174,Mohammed Mansour,Turkey
CP20175,Hassan Ivanov,Iran
CP20176,Wei Nouri,Nigeria
CP20177,Farid Volkov,Canada
CP20178,Karim Nouri,India
CP20179,Viktor Volkov,Mexico
CP20180,Wei Lee,Syria
CP20181,Viktor Nouri,Nigeria
CP20182,Farid Volkov,United Arab Emirates
CP20183,Mohammed Volkov,Canada
CP20184,Farid Lee,Mexico
CP20185,Peter Wilson,United Arab Emirates
CP20186,Mohammed Rahimi,United Arab Emirates
CP20187,Farid Nouri,Russia
CP20188,Mohammed Volkov,Syria
CP20189,Jin Khalil,Turkey
CP20190,Peter Khalil,Nigeria
CP20191,Samir Haddad,United Kingdom
CP20192,Jin Smith,Iran
CP20193,Viktor Karimi,Mexico
CP20194,Peter Petrov,Belarus
CP20195,Farid Hosseini,Iran
CP20196,Sara Volkov,Mexico
CP20197,Samir Haddad,Canada
CP20198,Reza Lee,India
CP20199,Ali Ivanov,Belarus
CP20200,Peter Wang,United Arab Emirates
CP20201,Mark Volkov,Turkey
CP20202,Jin Hosseini,Belarus
CP20203,Ali Brown,United Kingdom
CP20204,Mark Volkov,United Kingdom
CP20205,Ahmed Ivanov,Russia
CP20206,Farid Khalil,Syria
CP20207,Reza Zhang,United Arab Emirates
CP20208,Wei Lee,United Kingdom
CP20209,Sara Brown,Mexico
CP20210,Omar Lee,Iran
CP20211,Ivan Sokolov,United Kingdom
CP20212,Mohammed Ivanov,Syria
CP20213,Yousef Zhang,United Kingdom
CP20214,Ahmed Petrov,Russia
