customer_id,customer_name,country,customer_type,kyc_risk
CUST10000,Wei Johnson,Iran,Business,Low
CUST10001,Sarah Davis,Turkey,Individual,Low
CUST10002,Viktor Nouri,Russia,Individual,Low
CUST10003,Sarah Mansour,Mexico,Individual,Low
CUST10004,Ivan Petrov,Iran,Individual,Moderate
CUST10005,Michael Smith,Iran,Business,Low
CUST10006,Samir Johnson,United States,Individual,Low
CUST10007,Ivan Rahimi,United Kingdom,Individual,High
CUST10008,Yousef Davis,Belarus,Business,Moderate
CUST10009,Viktor Johnson,Syria,Individual,Low
CUST10010,Reza Wang,United States,Individual,Low
CUST10011,John Haddad,Russia,Individual,Moderate
CUST10012,Viktor Karimi,Canada,Individual,Moderate
CUST10013,Ahmed Zhang,Nigeria,Business,Low
CUST10014,Farid Brown,India,Individual,Low
CUST10015,Omar Sokolov,Syria,Individual,Low
CUST10016,Nikolai Davis,United Arab Emirates,Individual,Low
CUST10017,Sarah Zhang,Canada,Individual,High
CUST10018,James Karimi,Nigeria,Business,Low
CUST10019,Farid Smith,Canada,Individual,Low
CUST10020,Sergei Hosseini,Russia,Individual,Low
CUST10021,David Davis,Canada,Business,Moderate
CUST10022,Ahmed Mansour,Iran,Business,Moderate
CUST10023,David Mansour,Canada,Individual,High
CUST10024,Reza Davis,United Kingdom,Business,Low
CUST10025,James Ivanov,United Kingdom,Individual,Low
CUST10026,Wei Al Rashid,United States,Individual,Low
CUST10027,Hassan Smith,Nigeria,Business,Low
CUST10028,Jin Khalil,Belarus,Business,Low
CUST10029,John Volkov,United States,Individual,Low
CUST10030,Jin Smith,Iran,Individual,Low
CUST10031,Viktor Mansour,Mexico,Individual,Low
CUST10032,Reza Haddad,India,Individual,Moderate
CUST10033,James Mansour,United Kingdom,Individual,High
CUST10034,Ivan Khalil,Belarus,Business,Low
CUST10035,James Wang,United States,Business,Moderate
CUST10036,Mohammed Zhang,Nigeria,Individual,Low
CUST10037,Michael Khalil,Belarus,Individual,Low
CUST10038,John Rahimi,United Kingdom,Individual,Moderate
CUST10039,Ahmed Brown,United Kingdom,Business,Moderate
CUST10040,Jin Volkov,Canada,Individual,Low
CUST10041,Sergei Al Rashid,Nigeria,Individual,Moderate
CUST10042,Michael Khalil,United States,Individual,Low
CUST10043,Farid Khalil,India,Individual,Moderate
CUST10044,Sergei Zhang,Iran,Individual,Low
CUST10045,Yousef Brown,Canada,Individual,Moderate
CUST10046,Karim Sokolov,Turkey,Individual,High
CUST10047,Sergei Nouri,Canada,Individual,Low
CUST10048,James Nouri,Iran,Individual,Low
CUST10049,Karim Hosseini,Syria,Individual,Moderate
CUST10050,Viktor Hosseini,Russia,Individual,Low
CUST10051,Robert Brown,India,Individual,Low
CUST10052,David Khalil,Turkey,Individual,Low
CUST10053,Sergei Haddad,Nigeria,Individual,Low
CUST10054,Wei Davis,India,Individual,Low
CUST10055,Sergei Miller,United Arab Emirates,Individual,Low
CUST10056,Robert Al Rashid,United Arab Emirates,Individual,Moderate
CUST10057,Ali Sokolov,Syria,Individual,Moderate
CUST10058,Omar Khalil,Mexico,Individual,Moderate
CUST10059,John Mansour,Iran,Individual,Low
CUST10060,John Rahimi,Russia,Individual,Low
CUST10061,Samir Wang,Turkey,Business,Low
CUST10062,Nikolai Al Rashid,Belarus,Individual,Low
CUST10063,Omar Ivanov,United Kingdom,Individual,Low
CUST10064,John Smith,India,Individual,Low
CUST10065,Jin Mansour,Iran,Business,Low
CUST10066,Reza Wang,Nigeria,Business,Moderate
CUST10067,Michael Volkov,Nigeria,Individual,Low
CUST10068,Mohammed Khalil,Belarus,Individual,Moderate
CUST10069,Mohammed Mansour,United Kingdom,Individual,Moderate
CUST10070,Viktor Khalil,Mexico,Individual,High
CUST10071,Michael Johnson,Syria,Business,Low
CUST10072,Sarah Karimi,Russia,Individual,Low
CUST10073,Michael Smith,Belarus,Business,Low
CUST10074,Hassan Khalil,United Kingdom,Individual,Low
CUST10075,Wei Davis,United Arab Emirates,Individual,Low
CUST10076,Omar Davis,Syria,Individual,Moderate
CUST10077,James Smith,United States,Individual,Low
CUST10078,Farid Nouri,Turkey,Individual,Moderate
CUST10079,Wei Brown,United Kingdom,Individual,Low
CUST10080,Robert Hosseini,United Arab Emirates,Individual,Low
CUST10081,Nikolai Mansour,Turkey,Individual,Low
CUST10082,Karim Johnson,Nigeria,Individual,Low
CUST10083,Nikolai Davis,Belarus,Individual,High
CUST10084,Karim Al Rashid,India,Individual,Low
CUST10085,Karim Rahimi,United Arab Emirates,Individual,Low
CUST10086,Jin Sokolov,India,Individual,Moderate
CUST10087,Michael Wang,Mexico,Individual,Low
CUST10088,Farid Mansour,Mexico,Business,Moderate
CUST10089,Karim Sokolov,United States,Individual,Low
CUST10090,Reza Davis,Iran,Individual,Low
CUST10091,Michael Smith,Turkey,Individual,Low
CUST10092,Nikolai Nouri,Syria,Individual,Moderate
CUST10093,Ahmed Al Rashid,Iran,Business,Low
CUST10094,Hassan Rahimi,Russia,Individual,Low
CUST10095,Nikolai Brown,Syria,Individual,Low
CUST10096,Sergei Haddad,Russia,Business,Low
CUST10097,Ivan Petrov,Canada,Individual,Low
CUST10098,Omar Volkov,United Arab Emirates,Individual,Moderate
CUST10099,Hassan Al Rashid,Turkey,Individual,Low
CUST10100,Samir Karimi,Nigeria,Individual,Low
CUST10101,John Rahimi,United Kingdom,Individual,Moderate
CUST10102,Mohammed Hosseini,Mexico,Individual,Moderate
CUST10103,Omar Hosseini,Russia,Individual,Low
CUST10104,Nikolai Nouri,United Kingdom,Individual,Low
CUST10105,David Volkov,Russia,Individual,Low
CUST10106,James Nouri,Canada,Individual,Low
CUST10107,Ivan Haddad,Turkey,Individual,Moderate
CUST10108,Wei Petrov,United Kingdom,Business,Low
CUST10109,Sarah Johnson,India,Individual,Moderate
CUST10110,Reza Davis,Mexico,Business,Moderate
CUST10111,Nikolai Volkov,Russia,Business,Low
CUST10112,Mohammed Johnson,India,Individual,Low
CUST10113,Sergei Sokolov,Belarus,Individual,Moderate
CUST10114,Yousef Volkov,Russia,Individual,Low
CUST10115,Nikolai Nouri,Mexico,Individual,High
CUST10116,Karim Miller,United States,Individual,Moderate
CUST10117,David Nouri,India,Individual,Moderate
CUST10118,Sergei Zhang,Belarus,Individual,Moderate
CUST10119,Samir Khalil,Syria,Individual,Low
CUST10120,James Petrov,Belarus,Individual,Low
CUST10121,Viktor Nouri,United States,Individual,Low
CUST10122,Viktor Karimi,Mexico,Individual,Low
CUST10123,James Khalil,Canada,Individual,Low
CUST10124,David Volkov,Belarus,Business,Low
CUST10125,John Mansour,Mexico,Individual,Low
CUST10126,Ali Haddad,India,Individual,High
CUST10127,Nikolai Nouri,Turkey,Individual,Moderate
CUST10128,Nikolai Al Rashid,Russia,Individual,Low
CUST10129,Ahmed Petrov,Turkey,Business,Moderate
CUST10130,Ahmed Al Rashid,United Kingdom,Individual,Low
CUST10131,David Al Rashid,Turkey,Individual,High
CUST10132,Ahmed Hosseini,Syria,Business,High
CUST10133,James Rahimi,Canada,Individual,Moderate
CUST10134,Hassan Johnson,Mexico,Individual,Low
CUST10135,Reza Mansour,Belarus,Individual,Low
CUST10136,Samir Davis,United Kingdom,Individual,High
CUST10137,Nikolai Mansour,Belarus,Business,Moderate
CUST10138,Nikolai Khalil,Mexico,Individual,Moderate
CUST10139,Ivan Hosseini,Syria,Individual,Moderate
CUST10140,Farid Johnson,United Kingdom,Individual,Low
CUST10141,David Brown,United Kingdom,Individual,Low
CUST10142,Nikolai Haddad,Russia,Business,Low
CUST10143,David Nouri,Syria,Individual,Low
CUST10144,Hassan Rahimi,United States,Business,Low
CUST10145,Nikolai Khalil,Nigeria,Individual,Low
CUST10146,John Smith,Iran,Individual,Moderate
CUST10147,Jin Wang,United States,Business,Moderate
CUST10148,Michael Davis,United States,Individual,Low
CUST10149,Michael Khalil,Belarus,Individual,Low
CUST10150,Ahmed Hosseini,Turkey,Individual,Moderate
CUST10151,John Brown,United States,Business,High
CUST10152,Jin Smith,Iran,Business,High
CUST10153,Samir Zhang,United Kingdom,Business,Moderate
CUST10154,Sergei Smith,United Kingdom,Individual,Low
CUST10155,David Al Rashid,Syria,Business,Low
CUST10156,Hassan Smith,Belarus,Individual,Low
CUST10157,Mohammed Rahimi,United States,Individual,Low
CUST10158,James Wang,India,Individual,Low
CUST10159,Farid Al Rashid,Nigeria,Individual,Low
CUST10160,Sergei Smith,Syria,Individual,Low
CUST10161,Karim Nouri,Syria,Business,High
CUST10162,Yousef Sokolov,Nigeria,Individual,Low
CUST10163,Farid Ivanov,Syria,Individual,Moderate
CUST10164,Reza Ivanov,Canada,Individual,Low
CUST10165,James Rahimi,United States,Individual,Low
CUST10166,Mohammed Khalil,India,Individual,Moderate
CUST10167,Ahmed Wang,Belarus,Individual,Moderate
CUST10168,Yousef Smith,Mexico,Individual,Low
CUST10169,Ali Petrov,Turkey,Individual,Low
CUST10170,Hassan Haddad,Turkey,Individual,Moderate
CUST10171,Ali Zhang,United Kingdom,Individual,Low
CUST10172,Viktor Zhang,Mexico,Individual,High
CUST10173,Michael Mansour,Turkey,Business,Low
CUST10174,Robert Petrov,United States,Individual,Low
CUST10175,Yousef Volkov,Turkey,Business,Low
CUST10176,Robert Petrov,Canada,Individual,Low
CUST10177,Robert Haddad,Mexico,Individual,Low
CUST10178,Michael Sokolov,Mexico,Individual,Moderate
CUST10179,Sergei Haddad,Canada,Business,High
CUST10180,Sarah Sokolov,Canada,Individual,Moderate
CUST10181,Samir Petrov,Nigeria,Individual,Moderate
CUST10182,James Volkov,Belarus,Business,Low
CUST10183,Robert Nouri,Russia,Individual,Low
CUST10184,Omar Al Rashid,Iran,Business,Low
CUST10185,Robert Johnson,United States,Individual,Low
CUST10186,Robert Rahimi,Mexico,Individual,Low
CUST10187,Omar Mansour,United States,Individual,Low
CUST10188,Sergei Wang,Iran,Individual,Low
CUST10189,Omar Johnson,Syria,Business,Low
