watchlist_id,primary_name,alias_name,country,sanctions_program,date_of_birth
WL0001,Farid Zhang,Farid Zhang,North Korea,OFAC SDN,1961-07-08
WL0002,Nikolai Al Rashid,Nikolai Al-Rashid,Iran,OFAC SDN,1986-01-04
WL0003,Karim Volkov,Karim Volkov,North Korea,Country Program,1994-11-13
WL0004,Reza Volkov,Reza Volkov,Syria,Country Program,1954-06-27
WL0005,Nikolai Wang,Nikolai Wang,Iran,OFAC SDN,1982-02-19
WL0006,Omar Ivanov,Omar Ivanov,Syria,OFAC SDN,1990-05-02
WL0007,Jin Rahimi,Jin Rahimi,Russia,Counter-Terrorism,1980-04-07
WL0008,Hassan Ivanov,Hassan Ivanov,Iran,OFAC SDN,1952-11-27
WL0009,Farid Mansour,Farid Mansour,Russia,Country Program,1973-08-21
WL0010,Yousef Wang,Yousef Wang,North Korea,Sectoral Sanctions,1964-08-15
WL0011,Jin Wang,Jin Wang,Russia,Country Program,1960-01-08
WL0012,Mohammed Wang,Mohamed Wang,North Korea,Non-Proliferation,1984-05-12
WL0013,Ivan Rahimi,Ivan Rahimi,Russia,Country Program,1971-02-27
WL0014,Sergei Wang,Sergei Wang,Russia,Counter-Terrorism,1953-11-20
WL0015,Samir Haddad,Samir Haddad,Iran,Sectoral Sanctions,1991-12-27
WL0016,Mohammed Wang,Mohamed Wang,Syria,OFAC SDN,1967-02-01
WL0017,Farid Ivanov,Farid Ivanov,Iran,Non-Proliferation,1990-11-07
WL0018,Ahmed Ivanov,Ahmed Ivanov,Belarus,Country Program,1954-09-25
WL0019,Wei Zhang,Wei Zhang,Belarus,OFAC SDN,1968-08-10
WL0020,Reza Rahimi,Reza Rahimi,Syria,Non-Proliferation,1978-02-11
WL0021,Viktor Karimi,Viktor Karimi,Iran,Sectoral Sanctions,1954-08-13
WL0022,Jin Hosseini,Jin Hosseini,Russia,Country Program,1986-03-09
WL0023,Jin Petrov,Jin Petrov,Russia,Sectoral Sanctions,1985-08-03
WL0024,Viktor Nouri,Viktor Nouri,Belarus,Sectoral Sanctions,1978-05-05
WL0025,Sergei Wang,Sergei Wang,Syria,Non-Proliferation,1957-06-11
WL0026,Samir Karimi,Samir Karimi,Russia,OFAC SDN,1975-11-22
WL0027,Reza Rahimi,Reza Rahimi,North Korea,Non-Proliferation,1978-04-08
WL0028,Karim Mansour,Karim Mansour,Iran,OFAC SDN,1971-05-01
WL0029,Ivan Wang,Ivan Wang,Iran,Sectoral Sanctions,1962-09-01
WL0030,Ali Haddad,Ali Haddad,Russia,Counter-Terrorism,1984-09-02
WL0031,Nikolai Rahimi,Nikolai Rahimi,Iran,Country Program,1990-03-22
WL0032,Ali Sokolov,Ali Sokolov,North Korea,Non-Proliferation,1970-11-20
WL0033,Nikolai Al Rashid,Nikolai Al-Rashid,Russia,Sectoral Sanctions,1957-04-01
WL0034,Karim Haddad,Karim Haddad,Iran,Non-Proliferation,1957-03-14
WL0035,Viktor Rahimi,Viktor Rahimi,Syria,Sectoral Sanctions,1987-05-05
WL0036,Nikolai Ivanov,Nikolai Ivanov,Belarus,Sectoral Sanctions,1992-03-16
WL0037,Karim Ivanov,Karim Ivanov,Belarus,Counter-Terrorism,1980-05-26
WL0038,Nikolai Mansour,Nikolai Mansour,North Korea,Counter-Terrorism,1981-07-16
WL0039,Yousef Haddad,Yousef Haddad,Syria,Non-Proliferation,1962-05-27
WL0040,Sergei Hosseini,Sergei Hosseini,Iran,Country Program,1952-06-08
