transaction_id,transaction_date,customer_id,counterparty_id,amount,channel,counterparty_name,country
PAY300000,2026-03-14,CUST11575,CP27697,839.66,ACH,Hassan Smith,Turkey
PAY300001,2026-02-09,CUST11399,CP20272,35984.37,Card,Omar Haddad,United States
PAY300002,2026-08-27,CUST11570,CP21617,22129.97,Wire,Farid Karimi,Nigeria
PAY300003,2026-06-01,CUST10457,CP25172,4054.01,Wire,Ivan Al Rashid,Russia
PAY300004,2026-06-24,CUST11791,CP23522,13768.66,Wire,Mohammed Volkov,Belarus
PAY300005,2026-06-08,CUST10416,CP24336,12073.62,P2P,Peter Khalil,Canada
PAY300006,2026-02-07,CUST11072,CP21703,34564.73,P2P,Sara Haddad,Canada
PAY300007,2026-09-09,CUST10102,CP23136,7973.65,Wire,Hassan Mansour,India
PAY300008,2026-08-08,CUST11043,CP25882,11259.16,P2P,Ivan Khalil,United Kingdom
PAY300009,2026-07-20,CUST11433,CP20817,17278.6,Card,Karim Haddad,Iran
PAY300010,2026-09-22,CUST11354,CP22291,13637.4,ACH,Jin Hosseini,Russia
PAY300011,2026-06-04,CUST11012,CP24317,4093.54,Trade Payment,Nikolai Ivanov,Belarus
PAY300012,2026-07-28,CUST10284,CP27483,2413.29,Trade Payment,Sara Brown,United Kingdom
PAY300013,2026-05-29,CUST11906,CP21333,9779.44,ACH,Hassan Haddad,Russia
PAY300014,2026-08-13,CUST11104,CP25640,9634.04,Wire,Sergei Sokolov,Iran
PAY300015,2026-08-24,CUST10938,CP23943,9175.55,ACH,Ivan Mansour,Canada
PAY300016,2026-05-11,CUST10161,CP23255,6554.9,Wire,Ali Mansour,United States
PAY300017,2026-05-16,CUST10696,CP24227,17515.02,Wire,John Volkov,India
PAY300018,2026-08-15,CUST10649,CP21431,11099.57,Trade Payment,Farid Petrov,United States
PAY300019,2026-07-10,CUST11710,CP22268,6083.13,Card,Hassan Nouri,Russia
PAY300020,2026-04-19,CUST11995,CP22449,5731.02,Wire,Sergei Nouri,India
PAY300021,2026-06-21,CUST11732,CP20643,1367.42,Wire,Mark Sokolov,Russia
PAY300022,2026-08-08,CUST11453,CP22789,6790.26,Wire,Viktor Al Rashid,United Arab Emirates
PAY300023,2026-09-08,CUST11311,CP27155,8347.3,P2P,Viktor Sokolov,Syria
PAY300024,2026-04-21,CUST11280,CP20683,663.06,Wire,Sara Hosseini,Iran
PAY300025,2026-08-16,CUST10882,CP27839,146829.27,ACH,Sergei Petrov,Belarus
PAY300026,2026-02-25,CUST10528,CP24883,3061.34,ACH,Anna Karimi,Nigeria
PAY300027,2026-09-30,CUST11084,CP25582,9025.75,Card,Viktor Wilson,Mexico
PAY300028,2026-05-08,CUST11884,CP24787,44146.58,Trade Payment,Ivan Karimi,Mexico
PAY300029,2026-02-23,CUST11468,CP22394,4742.45,Card,Wei Rahimi,Nigeria
PAY300030,2026-09-16,CUST10863,CP22158,6133.87,P2P,Hassan Haddad,Nigeria
PAY300031,2026-05-11,CUST10129,CP23208,14624.92,Wire,John Ivanov,United Arab Emirates
PAY300032,2026-09-16,CUST10892,CP24309,44786.87,P2P,Samir Wilson,United States
PAY300033,2026-01-14,CUST10618,CP20696,1512.17,Trade Payment,Ahmed Rahimi,Belarus
PAY300034,2026-08-16,CUST10643,CP27805,47078.98,P2P,Omar Karimi,Syria
PAY300035,2026-06-16,CUST10803,CP21566,9953.87,Wire,Ali Lee,Iran
PAY300036,2026-01-17,CUST10273,CP20190,37420.0,Wire,Peter Khalil,Nigeria
PAY300037,2026-06-10,CUST11186,CP21721,1479.65,Trade Payment,Sara Khalil,Turkey
PAY300038,2026-06-06,CUST11632,CP25788,38367.87,Wire,Samir Khalil,Canada
PAY300039,2026-07-14,CUST11055,CP24383,10177.91,P2P,Karim Volkov,India
PAY300040,2026-05-13,CUST10264,CP27822,883.88,ACH,Ali Ivanov,United Kingdom
PAY300041,2026-08-22,CUST10579,CP25641,4362.0,ACH,Ivan Mansour,Iran
PAY300042,2026-06-02,CUST11066,CP26587,6186.48,ACH,Yousef Mansour,United States
PAY300043,2026-05-17,CUST11380,CP27722,1867.36,Wire,Hassan Wang,United Arab Emirates
PAY300044,2026-03-02,CUST10743,CP22471,3872.62,P2P,Wei Al Rashid,Syria
PAY300045,2026-05-06,CUST11717,CP26893,11995.25,ACH,Ali Wang,Nigeria
PAY300046,2026-07-01,CUST11883,CP25037,4399.95,Trade Payment,Mohammed Haddad,Russia
PAY300047,2026-05-08,CUST11869,CP21226,2351.59,Wire,Hassan Smith,Iran
PAY300048,2026-05-02,CUST11678,CP20490,15042.17,ACH,Anna Hosseini,Nigeria
PAY300049,2026-06-30,CUST10135,CP27854,1865.11,Card,Mohammed Karimi,Russia
PAY300050,2026-02-28,CUST11046,CP24566,4226.95,Wire,Wei Haddad,Mexico
PAY300051,2026-09-21,CUST11473,CP26597,6785.74,ACH,Reza Volkov,Canada
PAY300052,2026-07-25,CUST11844,CP25992,4825.31,Card,Mark Zhang,Nigeria
PAY300053,2026-04-07,CUST11208,CP22049,9655.01,ACH,Sergei Lee,Syria
PAY300054,2026-02-20,CUST11870,CP27884,3400.13,ACH,Omar Wang,Belarus
PAY300055,2026-07-22,CUST11400,CP23750,7384.73,ACH,Viktor Ivanov,India
PAY300056,2026-03-08,CUST10348,CP26804,1825.3,Wire,Nikolai Haddad,Mexico
PAY300057,2026-01-09,CUST11140,CP27911,2399.78,Trade Payment,Peter Wilson,United States
PAY300058,2026-01-07,CUST10568,CP21961,13098.05,Wire,Nikolai Al Rashid,Russia
PAY300059,2026-02-07,CUST10568,CP24889,8254.43,ACH,Yousef Hosseini,Belarus
PAY300060,2026-01-29,CUST11995,CP22751,4446.94,Card,Nikolai Hosseini,Mexico
PAY300061,2026-09-27,CUST11382,CP20008,10808.93,P2P,Karim Sokolov,Nigeria
PAY300062,2026-01-15,CUST11284,CP23162,13160.4,Wire,Ali Wilson,Iran
PAY300063,2026-04-15,CUST10367,CP26635,6321.34,ACH,Mark Petrov,India
PAY300064,2026-02-03,CUST11062,CP26090,8451.37,Trade Payment,Sergei Wilson,Russia
PAY300065,2026-09-30,CUST11871,CP26236,5291.4,Card,Peter Petrov,United Arab Emirates
PAY300066,2026-08-27,CUST10793,CP21025,5224.89,Trade Payment,Farid Petrov,Belarus
PAY300067,2026-08-23,CUST11806,CP24847,1975.72,Trade Payment,Nikolai Ivanov,Iran
PAY300068,2026-01-22,CUST11953,CP26412,1727.79,Wire,Nikolai Ivanov,Syria
